Dis_No,Year,Seq,Disaster_Subtype,Entry_Criteria,Country,ISO,Start_Year,Start_Month,End_Year,End_Month,Total_Deaths,No_Affected,Total_Affected,Total_Damages,CPI
1990-0644-CAN,1990,644,Riverine flood,Declar,Canada,CAN,1990,6,1990,6,8,12000,0,8500,51.106795
1993-0150-CAN,1993,150,Riverine flood,Affect,Canada,CAN,1993,4,1993,4,64,200,200,0,56.50464564
1990-0707-USA,1990,707,Riverine flood,Affected,America,USA,1990,1,1990,1,3,3000,3000,45000,51.106795
1990-0713-USA,1990,713,Flash flood,Affected,America,USA,1990,5,1990,6,64,200,200,0,51.106795
1990-0708-USA,1990,708,Riverine flood,Affected,America,USA,1990,1,1990,1,64,150,150,0,51.106795
1990-0073-USA,1990,73,Riverine flood,Kill,America,USA,1990,6,1990,6,35,12000,0,0,51.106795
1991-0490-USA,1991,490,Riverine flood,SigDam,America,USA,1991,3,1991,3,64,12000,0,0,53.27115662
1991-0491-USA,1991,491,Riverine flood,SigDam,America,USA,1991,3,1991,3,64,12000,0,0,53.27115662
1991-0492-USA,1991,492,Riverine flood,SigDam,America,USA,1991,3,1991,3,64,12000,0,0,53.27115662
1991-0493-USA,1991,493,Riverine flood,SigDam,America,USA,1991,4,1991,4,64,12000,0,0,53.27115662
1991-0494-USA,1991,494,Riverine flood,SigDam,America,USA,1991,4,1991,4,64,12000,0,0,53.27115662
1991-0496-USA,1991,496,Riverine flood,SigDam,America,USA,1991,4,1991,4,64,12000,0,0,53.27115662
1991-0499-USA,1991,499,Riverine flood,SigDam,America,USA,1991,4,1991,4,64,12000,0,0,53.27115662
1991-0501-USA,1991,501,Riverine flood,SigDam,America,USA,1991,5,1991,5,64,12000,0,0,53.27115662
1991-0502-USA,1991,502,Riverine flood,SigDam,America,USA,1991,5,1991,5,64,12000,0,0,53.27115662
1991-0503-USA,1991,503,Riverine flood,SigDam,America,USA,1991,5,1991,5,64,12000,0,0,53.27115662
1991-0504-USA,1991,504,Riverine flood,SigDam,America,USA,1991,5,1991,5,64,12000,0,0,53.27115662
1991-0505-USA,1991,505,Riverine flood,SigDam,America,USA,1991,5,1991,5,64,12000,0,0,53.27115662
1991-0487-USA,1991,487,Riverine flood,SigDam,America,USA,1991,3,1991,3,64,12000,0,0,53.27115662
1991-0776-USA,1991,776,Riverine flood,SigDam,America,USA,1991,12,1992,1,15,12000,0,850000,53.27115662
1993-0421-USA,1993,421,Flash flood,SigDam,America,USA,1993,1,1993,1,64,200,200,0,56.50464564
1993-0043-USA,1993,43,Riverine flood,Kill,America,USA,1993,6,1993,8,48,31000,31000,12000000,56.50464564
1993-0126-USA,1993,126,Riverine flood,Affect,America,USA,1993,3,1993,3,2,1500,1500,0,56.50464564
1993-0420-USA,1993,420,Riverine flood,Kill,America,USA,1993,1,1993,1,43,6000,6000,100000,56.50464564
1993-0099-USA,1993,99,Riverine flood,Declar,America,USA,1993,1,1993,1,5,12000,0,0,56.50464564
1993-0123-USA,1993,123,Riverine flood,Affect,America,USA,1993,2,1993,2,64,5200,5200,190000,56.50464564
1995-0110-CAN,1995,110,Riverine flood,Affect,Canada,CAN,1995,6,1995,6,64,5600,5600,73300,59.60449489
1996-0116-CAN,1996,116,Riverine flood,Kill,Canada,CAN,1996,7,1996,7,10,12000,12000,729600,61.35162973
1997-0082-CAN,1997,82,Riverine flood,Affect,Canada,CAN,1997,4,1997,5,4,29000,29000,120000,62.7858352
1998-0091-CAN,1998,91,Riverine flood,Affect,Canada,CAN,1998,3,1998,3,3,3100,3100,0,63.76045524
1994-0361-USA,1994,361,Riverine flood,Kill,America,USA,1994,10,1994,10,37,14000,14070,700000,57.97797424
1995-0045-USA,1995,45,Riverine flood,Affect,America,USA,1995,5,1995,5,6,20000,20000,3000000,59.60449489
1995-0481-USA,1995,481,Riverine flood,Affected,America,USA,1995,11,1995,12,2,15000,15000,100000,59.60449489
1995-0483-USA,1995,483,Riverine flood,Affected,America,USA,1995,9,1995,10,64,300,300,10000,59.60449489
1995-0488-USA,1995,488,Riverine flood,Affected,America,USA,1995,5,1995,6,3,5000,5000,10000,59.60449489
1995-0046-USA,1995,46,Riverine flood,Affect,America,USA,1995,5,1995,5,64,75000,75000,0,59.60449489
1995-0143-USA,1995,143,Riverine flood,Govern,America,USA,1995,7,1995,7,8,12000,0,125000,59.60449489
1996-0295-USA,1996,295,Riverine flood,Kill,America,USA,1996,12,1997,1,28,18100,18100,1500000,61.35162973
1996-0015-USA,1996,15,Riverine flood,Kill,America,USA,1996,1,1996,1,35,200000,200000,700000,61.35162973
1996-0031-USA,1996,31,Riverine flood,Affect,America,USA,1996,2,1996,2,7,24900,24900,500000,61.35162973
1996-0494-USA,1996,494,Riverine flood,Affected,America,USA,1996,7,1996,7,2,115,115,20000,61.35162973
1997-0083-USA,1997,83,Riverine flood,Affect,America,USA,1997,4,1997,5,3,50000,50400,5000000,62.7858352
1997-0008-USA,1997,8,Riverine flood,Kill,America,USA,1997,1,1997,2,20,125000,125000,1500000,62.7858352
